Authors,Journal,Title,Year,PMCID,PMID,URL,Impact Factor
"Besse, B., Pons-Tostivint, E., Park, K., Hartl, S., Forde, P. M., Hochmair, M. J., Awad, M. M., Thomas, M., Goss, G., Wheatley-Price, P., Shepherd, F. A., Florescu, M., Cheema, P., Chu, Q. S. C., Kim, S. W., Morgensztern, D., Johnson, M. L., Cousin, S., Kim, D. W., Moskovitz, M. T., Vicente, D., Aronson, B., Hobson, R., Ambrose, H. J., Khosla, S., Reddy, A., Russell, D. L., Keddar, M. R., Conway, J. P., Barrett, J. C., Dean, E., Kumar, R., Dressman, M., Jewsbury, P. J., Iyer, S., Barry, S. T., Cosaert, J. and Heymach, J. V.",Nat Med,Biomarker-directed targeted therapy plus durvalumab in advanced non-small-cell lung cancer: a phase 2 umbrella trial,2024,PMC10957481,38351187,https://www.ncbi.nlm.nih.gov/pubmed/38351187,58.7
"Chokshi, C. R., Shaikh, M. V., Brakel, B., Rossotti, M. A., Tieu, D., Maich, W., Anand, A., Chafe, S. C., Zhai, K., Suk, Y., Kieliszek, A. M., Miletic, P., Mikolajewicz, N., Chen, D., McNicol, J. D., Chan, K., Tong, A. H. Y., Kuhlmann, L., Liu, L., Alizada, Z., Mobilio, D., Tatari, N., Savage, N., Aghaei, N., Grewal, S., Puri, A., Subapanditha, M., McKenna, D., Ignatchenko, V., Salamoun, J. M., Kwiecien, J. M., Wipf, P., Sharlow, E. R., Provias, J. P., Lu, J. Q., Lazo, J. S., Kislinger, T., Lu, Y., Brown, K. R., Venugopal, C., Henry, K. A., Moffat, J. and Singh, S. K.",Nat Med,Targeting axonal guidance dependencies in glioblastoma with ROBO1 CAR T cells,2024,,39095594,https://www.ncbi.nlm.nih.gov/pubmed/39095594,58.7
"Jiang, L., Qin, J., Dai, Y., Zhao, S., Zhan, Q., Cui, P., Ren, L., Wang, X., Zhang, R., Gao, C., Zhou, Y., Cai, S., Wang, G., Xie, W., Tang, X., Shi, M., Ma, F., Liu, J., Wang, T., Wang, C., Svrcek, M., Bardier-Dupas, A., Emile, J. F., de Mestier, L., Bachet, J. B., Nicolle, R., Cros, J., Laurent-Puig, P., Wei, M., Song, B., Jing, W., Guo, S., Zheng, K., Jiang, H., Wang, H., Deng, X., Chen, H., Tian, Q., Wang, S., Shi, S., Jin, G., Yin, T., Fang, H., Chen, S. and Shen, B.",Nat Med,Prospective observational study on biomarkers of response in pancreatic ductal adenocarcinoma,2024,,38287168,https://www.ncbi.nlm.nih.gov/pubmed/38287168,58.7
"Marin, D., Li, Y., Basar, R., Rafei, H., Daher, M., Dou, J., Mohanty, V., Dede, M., Nieto, Y., Uprety, N., Acharya, S., Liu, E., Wilson, J., Banerjee, P., Macapinlac, H. A., Ganesh, C., Thall, P. F., Bassett, R., Ammari, M., Rao, S., Cao, K., Shanley, M., Kaplan, M., Hosing, C., Kebriaei, P., Nastoupil, L. J., Flowers, C. R., Moseley, S. M., Lin, P., Ang, S., Popat, U. R., Qazilbash, M. H., Champlin, R. E., Chen, K., Shpall, E. J. and Rezvani, K.",Nat Med,"Safety, efficacy and determinants of response of allogeneic CD19-specific CAR-NK cells in CD19(+) B cell tumors: a phase 1/2 trial",2024,PMC10957466,38238616,https://www.ncbi.nlm.nih.gov/pubmed/38238616,58.7
"Rosenzweig, N., Kleemann, K. L., Rust, T., Carpenter, M., Grucci, M., Aronchik, M., Brouwer, N., Valenbreder, I., Cooper-Hohn, J., Iyer, M., Krishnan, R. K., Sivanathan, K. N., Brandao, W., Yahya, T., Durao, A., Yin, Z., Chadarevian, J. P., Properzi, M. J., Nowarski, R., Davtyan, H., Weiner, H. L., Blurton-Jones, M., Yang, H. S., Eggen, B. J. L., Sperling, R. A. and Butovsky, O.",Nat Med,Sex-dependent APOE4 neutrophil-microglia interactions drive cognitive impairment in Alzheimer's disease,2024,,38961225,https://www.ncbi.nlm.nih.gov/pubmed/38961225,58.7
"Afzali, A. M., Nirschl, L., Sie, C., Pfaller, M., Ulianov, O., Hassler, T., Federle, C., Petrozziello, E., Kalluri, S. R., Chen, H. H., Tyystjarvi, S., Muschaweckh, A., Lammens, K., Delbridge, C., Buttner, A., Steiger, K., Seyhan, G., Ottersen, O. P., Ollinger, R., Rad, R., Jarosch, S., Straub, A., Muhlbauer, A., Grassmann, S., Hemmer, B., Bottcher, J. P., Wagner, I., Kreutzfeldt, M., Merkler, D., Pardas, I. B., Schmidt Supprian, M., Buchholz, V. R., Heink, S., Busch, D. H., Klein, L. and Korn, T.",Nature,B cells orchestrate tolerance to the neuromyelitis optica autoantigen AQP4,2024,PMC10937377,38383779,https://www.ncbi.nlm.nih.gov/pubmed/38383779,50.5
"Aguade-Gorgorio, J., Jami-Alahmadi, Y., Calvanese, V., Kardouh, M., Fares, I., Johnson, H., Rezek, V., Ma, F., Magnusson, M., Wang, Y., Shin, J. E., Nance, K. J., Goodridge, H. S., Liebscher, S., Schenke-Layland, K., Crooks, G. M., Wohlschlegel, J. A. and Mikkola, H. K. A.",Nature,MYCT1 controls environmental sensing in human haematopoietic stem cells,2024,PMC11168926,38839950,https://www.ncbi.nlm.nih.gov/pubmed/38839950,50.5
"Bezwada, D., Perelli, L., Lesner, N. P., Cai, L., Brooks, B., Wu, Z., Vu, H. S., Sondhi, V., Cassidy, D. L., Kasitinon, S., Kelekar, S., Cai, F., Aurora, A. B., Patrick, M., Leach, A., Ghandour, R., Zhang, Y., Do, D., McDaniel, P., Sudderth, J., Dumesnil, D., House, S., Rosales, T., Poole, A. M., Lotan, Y., Woldu, S., Bagrodia, A., Meng, X., Cadeddu, J. A., Mishra, P., Garcia-Bermudez, J., Pedrosa, I., Kapur, P., Courtney, K. D., Malloy, C. R., Genovese, G., Margulis, V. and DeBerardinis, R. J.",Nature,Mitochondrial complex I promotes kidney cancer metastasis,2024,,39143213,https://www.ncbi.nlm.nih.gov/pubmed/39143213,50.5
"Borrelli, C., Roberts, M., Eletto, D., Hussherr, M. D., Fazilaty, H., Valenta, T., Lafzi, A., Kretz, J. A., Guido Vinzoni, E., Karakatsani, A., Adivarahan, S., Mannhart, A., Kimura, S., Meijs, A., Baccouche Mhamedi, F., Acar, I. E., Handler, K., Ficht, X., Platt, R. J., Piscuoglio, S. and Moor, A. E.",Nature,In vivo interaction screening reveals liver-derived constraints to metastasis,2024,PMC11306111,39048831,https://www.ncbi.nlm.nih.gov/pubmed/39048831,50.5
"Bosch, M., Kallin, N., Donakonda, S., Zhang, J. D., Wintersteller, H., Hegenbarth, S., Heim, K., Ramirez, C., Furst, A., Lattouf, E. I., Feuerherd, M., Chattopadhyay, S., Kumpesa, N., Griesser, V., Hoflack, J. C., Siebourg-Polster, J., Mogler, C., Swadling, L., Pallett, L. J., Meiser, P., Manske, K., de Almeida, G. P., Kosinska, A. D., Sandu, I., Schneider, A., Steinbacher, V., Teng, Y., Schnabel, J., Theis, F., Gehring, A. J., Boonstra, A., Janssen, H. L. A., Vandenbosch, M., Cuypers, E., Ollinger, R., Engleitner, T., Rad, R., Steiger, K., Oxenius, A., Lo, W. L., Klepsch, V., Baier, G., Holzmann, B., Maini, M. K., Heeren, R., Murray, P. J., Thimme, R., Herrmann, C., Protzer, U., Bottcher, J. P., Zehn, D., Wohlleber, D., Lauer, G. M., Hofmann, M., Luangsay, S. and Knolle, P. A.",Nature,A liver immune rheostat regulates CD8 T cell immunity in chronic HBV infection,2024,PMC11269190,38987588,https://www.ncbi.nlm.nih.gov/pubmed/38987588,50.5
"Chan, J. D., Scheffler, C. M., Munoz, I., Sek, K., Lee, J. N., Huang, Y. K., Yap, K. M., Saw, N. Y. L., Li, J., Chen, A. X. Y., Chan, C. W., Derrick, E. B., Todd, K. L., Tong, J., Dunbar, P. A., Li, J., Hoang, T. X., de Menezes, M. N., Petley, E. V., Kim, J. S., Nguyen, D., Leung, P. S. K., So, J., Deguit, C., Zhu, J., House, I. G., Kats, L. M., Scott, A. M., Solomon, B. J., Harrison, S. J., Oliaro, J., Parish, I. A., Quinn, K. M., Neeson, P. J., Slaney, C. Y., Lai, J., Beavis, P. A. and Darcy, P. K.",Nature,"FOXO1 enhances CAR T cell stemness, metabolic fitness and efficacy",2024,PMC11062918,38600376,https://www.ncbi.nlm.nih.gov/pubmed/38600376,50.5
